iter	RMSE
0	14.76258085
1	14.4979172
2	14.25554732
3	14.05682212
4	13.83446399
5	13.60389212
6	13.40347698
7	13.19495719
8	12.99469379
9	12.8200378
10	12.6244076
11	12.43960355
12	12.23933136
13	12.05197419
14	11.86807961
15	11.7113936
16	11.54999291
17	11.40193611
18	11.22987786
19	11.0711435
20	10.92713345
21	10.78590701
22	10.64138776
23	10.50393556
24	10.36509512
25	10.25721528
26	10.14301225
27	10.02284154
28	9.895547544
29	9.777049094
30	9.667220668
31	9.546403683
32	9.44404408
33	9.335126394
34	9.253249707
35	9.151377773
36	9.060293412
37	8.959504132
38	8.86277094
39	8.777394229
40	8.694069516
41	8.609971296
42	8.521106305
43	8.455818803
44	8.389758502
45	8.327909564
46	8.252996311
47	8.184649863
48	8.124123881
49	8.053672097
50	7.991020116
51	7.929956582
52	7.869118969
53	7.804294113
54	7.745037187
55	7.692568404
56	7.637143939
57	7.585006616
58	7.530613385
59	7.483610182
60	7.444927413
61	7.403097445
62	7.354533147
63	7.31332605
64	7.270001998
65	7.226301575
66	7.186155647
67	7.143073462
68	7.108632615
69	7.070807621
70	7.028384663
71	6.989092237
72	6.956056745
73	6.917998902
74	6.883707393
75	6.849406426
76	6.820443516
77	6.789226514
78	6.760232282
79	6.733599376
80	6.706528742
81	6.680049208
82	6.650790487
83	6.628446922
84	6.605529495
85	6.578509889
86	6.555359284
87	6.534167738
88	6.508902124
89	6.485885156
90	6.465939395
91	6.444483975
92	6.41954352
93	6.399434274
94	6.384291029
95	6.368445718
96	6.348645792
97	6.325776536
98	6.308091793
99	6.287979724
100	6.270628816
101	6.254382125
102	6.236490222
103	6.220195653
104	6.203909167
105	6.184877967
106	6.170793905
107	6.157158658
108	6.142043425
109	6.128312899
110	6.115601863
111	6.103660189
112	6.089572906
113	6.076006607
114	6.061387034
115	6.051172736
116	6.03684918
117	6.024776182
118	6.014077509
119	6.000403926
120	5.990746335
121	5.978814859
122	5.966310335
123	5.9544907
124	5.943288533
125	5.932315035
126	5.923719462
127	5.91496633
128	5.90674485
129	5.897763802
130	5.889912593
131	5.880716108
132	5.871234542
133	5.862853868
134	5.856059677
135	5.847021395
136	5.837884936
137	5.829432926
138	5.821875207
139	5.815011833
140	5.806500864
141	5.79832622
142	5.792049861
143	5.783134707
144	5.776645963
145	5.770244594
146	5.762491656
147	5.754737911
148	5.748007161
149	5.741269408
150	5.73603275
151	5.729053457
152	5.721834332
153	5.7169723
154	5.709910554
155	5.703990754
156	5.697924811
157	5.692345944
158	5.686444072
159	5.68024607
160	5.676933135
161	5.671805603
162	5.666005372
163	5.661533488
164	5.655083138
165	5.65171224
166	5.645970492
167	5.639220148
168	5.634626978
169	5.63050963
170	5.626644486
171	5.622360947
172	5.619937094
173	5.616543464
174	5.612135774
175	5.608817558
176	5.606354044
177	5.603342331
178	5.599886762
179	5.595715193
180	5.591487771
181	5.586998821
182	5.583491377
183	5.579598494
184	5.575656461
185	5.572298404
186	5.567817215
187	5.565118949
188	5.562460534
189	5.557782503
190	5.553952888
191	5.550753424
192	5.547279575
193	5.543350946
194	5.539717487
195	5.534981793
196	5.531293861
197	5.528680076
198	5.526155536
199	5.522825803
200	5.517910969
201	5.515480027
202	5.512730442
203	5.510074098
204	5.507552127
205	5.50587096
206	5.501502288
207	5.497562232
208	5.494735864
209	5.490861938
210	5.488410823
211	5.485654378
212	5.482873486
213	5.479328421
214	5.476183923
215	5.474377084
216	5.472108726
217	5.4703776
218	5.466880451
219	5.46439214
220	5.46233771
221	5.460357428
222	5.456312674
223	5.453144564
224	5.450839425
225	5.449271677
226	5.44757272
227	5.445910023
228	5.442614021
229	5.439928265
230	5.43716957
231	5.434945322
232	5.433499741
233	5.430258382
234	5.428612592
235	5.426606119
236	5.424189768
237	5.42249343
238	5.420735926
239	5.417878547
240	5.414478561
241	5.412175651
242	5.411268093
243	5.409313965
