iter	Passed	Remaining
0	0	394
1	1	369
2	1	366
3	2	357
4	2	352
5	3	345
6	3	342
7	4	343
8	4	342
9	5	348
10	5	350
11	6	356
12	7	369
13	8	396
14	9	413
15	10	414
16	10	411
17	11	410
18	12	411
19	12	410
20	13	421
21	14	430
22	15	428
23	15	425
24	16	427
25	17	423
26	17	420
27	18	422
28	19	436
29	20	433
30	21	433
31	21	433
32	22	432
33	23	430
34	23	430
35	24	430
36	25	427
37	25	424
38	26	422
39	26	420
40	27	416
41	27	415
42	28	414
43	29	413
44	29	411
45	30	409
46	30	408
47	31	407
48	32	406
49	32	405
50	33	405
51	34	405
52	34	404
53	35	403
54	36	402
55	36	400
56	37	399
57	37	398
58	38	397
59	39	396
60	39	395
61	40	394
62	41	393
63	41	393
64	42	392
65	42	390
66	43	390
67	44	390
68	45	389
69	45	388
70	46	387
71	46	386
72	47	386
73	48	384
74	48	383
75	49	382
76	49	380
77	50	380
78	51	378
79	51	376
80	52	376
81	52	376
82	53	375
83	54	374
84	54	373
85	55	372
86	55	371
87	56	371
88	57	371
89	57	370
90	58	369
91	59	368
92	59	367
93	60	367
94	60	365
95	61	365
96	62	365
97	62	364
98	63	363
99	64	363
100	64	362
101	65	361
102	65	360
103	66	361
104	67	360
105	68	360
106	68	359
107	69	360
108	70	361
109	72	365
110	72	364
111	73	363
112	74	362
113	74	362
114	75	361
115	76	360
116	76	361
117	77	360
118	78	359
119	78	358
120	79	357
121	79	356
122	80	355
123	81	354
124	82	355
125	82	354
126	83	353
127	84	354
128	85	354
129	86	355
130	86	354
131	87	354
132	88	353
133	88	352
134	89	351
135	90	350
136	90	350
137	91	349
138	92	348
139	92	348
140	93	347
141	93	346
142	94	345
143	96	348
144	96	348
145	97	347
146	98	347
147	99	348
148	100	348
149	101	347
150	102	348
151	103	348
152	104	349
153	104	348
154	105	347
155	106	347
156	106	346
157	107	346
158	108	346
159	109	345
160	110	345
161	111	346
162	112	347
163	113	347
164	114	346
165	114	345
166	115	344
167	116	343
168	117	344
169	118	344
170	118	343
171	119	342
172	120	343
173	121	342
174	122	342
175	122	342
176	123	341
177	124	340
178	124	339
179	125	339
180	126	338
181	127	338
182	128	338
183	128	337
