iter	Passed	Remaining
0	144	144326
1	145	72398
2	145	48404
3	146	36401
4	146	29229
5	147	24467
6	148	21036
7	148	18462
8	149	16501
9	150	14892
10	151	13577
11	151	12489
12	152	11587
13	153	10792
14	154	10115
15	154	9526
16	155	8996
17	156	8520
18	156	8102
19	157	7720
20	158	7377
21	159	7068
22	159	6780
23	160	6514
24	160	6274
25	161	6053
26	162	5848
27	162	5655
28	163	5486
29	164	5319
30	165	5184
31	166	5048
32	167	4907
33	168	4774
34	168	4659
35	169	4542
36	170	4430
37	170	4326
38	171	4226
39	172	4135
40	173	4046
41	173	3960
42	174	3878
43	175	3807
44	175	3732
45	176	3659
46	177	3592
47	177	3526
48	178	3464
49	179	3405
50	180	3354
51	181	3304
52	181	3248
53	182	3202
54	183	3150
55	184	3102
56	184	3059
57	185	3018
58	186	2973
59	186	2928
60	187	2886
61	188	2849
62	189	2813
63	189	2778
64	190	2742
65	191	2710
66	192	2677
67	192	2643
68	193	2611
69	194	2583
70	195	2552
71	195	2521
72	196	2494
73	197	2467
74	197	2439
75	198	2410
76	199	2386
77	199	2362
78	200	2336
79	200	2310
80	201	2285
81	202	2262
82	202	2236
83	203	2214
84	203	2191
85	204	2170
86	204	2151
87	205	2130
88	206	2111
89	207	2093
90	207	2075
91	208	2056
92	208	2037
93	209	2020
94	210	2005
95	211	1987
96	211	1970
97	212	1955
98	213	1939
99	213	1922
100	214	1906
101	215	1893
102	216	1881
103	216	1867
104	217	1853
105	218	1840
106	218	1826
107	219	1813
108	220	1799
109	220	1786
110	221	1772
111	222	1761
112	222	1750
113	223	1737
114	224	1724
115	224	1712
116	225	1699
117	225	1687
118	226	1675
119	226	1664
120	228	1656
121	228	1645
122	229	1634
123	229	1623
124	230	1613
125	231	1604
126	231	1594
127	232	1584
128	233	1575
129	234	1566
130	234	1556
131	235	1546
132	235	1537
133	236	1529
134	237	1520
135	237	1511
136	238	1502
137	239	1494
138	239	1485
139	240	1476
140	240	1467
141	241	1459
142	242	1453
143	243	1445
144	243	1437
145	244	1430
146	245	1423
147	245	1415
148	246	1408
149	247	1401
150	247	1394
151	248	1386
152	249	1379
153	250	1375
154	250	1367
155	251	1360
156	252	1353
157	252	1346
158	253	1339
159	253	1333
160	254	1326
161	255	1319
162	255	1312
163	256	1306
164	257	1301
165	257	1295
166	258	1288
167	258	1282
168	259	1276
169	260	1271
170	260	1265
171	261	1259
172	262	1254
173	262	1248
174	263	1242
175	264	1236
176	264	1232
177	265	1226
178	266	1222
179	267	1216
180	267	1211
181	268	1205
182	269	1202
183	269	1197
184	270	1192
185	271	1188
186	272	1184
187	273	1179
188	273	1174
189	274	1169
190	275	1165
191	275	1160
192	276	1155
193	276	1150
194	277	1146
195	278	1142
196	279	1138
197	279	1133
198	280	1130
199	281	1125
200	281	1120
201	282	1115
202	283	1112
203	283	1107
204	284	1102
205	284	1098
206	285	1095
207	286	1090
208	287	1086
209	287	1082
210	288	1078
211	289	1074
212	289	1069
213	290	1068
214	291	1064
215	292	1060
216	292	1056
217	293	1052
218	294	1048
219	294	1044
220	295	1040
221	295	1036
222	296	1034
223	297	1030
224	298	1027
225	298	1023
226	299	1020
227	300	1017
228	301	1014
229	301	1010
230	302	1006
231	303	1003
232	303	1000
233	304	997
234	305	993
235	305	990
236	306	987
237	307	984
238	308	980
239	308	977
240	309	974
241	309	970
242	310	967
243	311	964
244	311	961
245	312	958
246	313	956
247	314	953
248	314	950
249	315	947
250	316	943
251	316	940
252	317	937
253	318	934
254	318	931
255	319	928
256	319	925
257	320	922
258	321	919
259	321	915
260	322	912
261	323	909
262	323	906
263	324	903
264	324	901
265	325	898
266	326	895
267	327	893
268	327	890
269	328	887
270	328	884
271	329	882
272	330	879
273	330	876
274	331	874
275	332	871
276	332	868
277	333	865
278	333	863
279	334	860
280	335	857
281	335	855
282	336	852
283	337	849
284	337	847
285	338	844
286	338	841
287	339	839
288	340	838
289	341	836
290	342	833
291	342	831
292	343	828
293	344	826
294	344	823
295	345	821
296	346	819
297	346	817
298	347	814
299	348	812
300	348	810
301	349	808
302	350	805
303	351	803
304	351	801
305	352	799
306	352	796
307	353	794
308	354	792
309	355	790
310	355	788
311	356	786
312	357	783
313	357	781
314	358	779
315	359	777
316	359	775
317	360	772
318	361	770
319	362	769
320	362	767
321	363	765
322	364	763
323	364	760
324	365	758
325	366	756
326	366	754
327	367	752
328	368	751
329	368	749
330	369	747
331	370	745
332	371	743
333	371	741
334	372	739
335	372	736
336	373	734
337	374	732
338	374	730
339	375	728
340	376	726
341	376	724
342	377	722
343	377	720
344	378	718
345	379	717
346	380	715
347	380	713
348	381	711
349	382	709
350	382	707
351	383	705
352	384	703
353	384	701
354	385	699
355	385	698
356	386	696
357	387	694
358	387	692
359	388	690
360	389	688
361	389	686
362	390	684
363	390	683
364	391	681
365	392	679
366	392	677
367	393	675
368	394	674
369	394	672
370	395	670
371	396	668
372	396	667
373	397	665
374	398	663
375	398	661
376	399	660
377	400	658
378	400	656
379	401	655
380	402	653
381	402	651
382	403	650
383	404	648
384	404	646
385	405	644
386	406	643
387	406	641
388	407	639
389	407	638
390	408	636
391	409	635
392	410	633
393	410	631
394	411	630
395	412	628
396	412	627
397	413	625
398	414	623
399	414	622
400	415	620
401	415	618
402	416	617
403	417	615
404	417	613
405	418	612
406	419	610
407	419	609
408	420	607
409	421	605
410	421	604
411	422	602
412	423	601
413	423	599
414	424	598
415	425	596
416	425	595
417	426	593
418	427	592
419	427	590
420	428	589
421	429	587
422	429	586
423	430	584
424	431	583
425	431	581
426	432	580
427	433	578
428	433	577
429	434	575
430	435	574
431	435	572
432	436	571
433	436	569
434	437	568
435	438	567
436	439	565
437	439	564
438	440	562
439	440	560
440	441	559
441	441	557
442	442	556
443	443	554
444	443	553
445	444	552
446	445	550
447	445	549
448	446	547
449	446	546
450	447	544
451	448	543
452	448	541
453	449	540
454	449	538
455	450	537
456	451	536
457	451	534
458	452	533
459	453	531
460	453	530
461	454	529
462	455	528
463	456	526
464	456	525
465	457	524
466	457	522
467	458	521
468	459	519
469	459	518
470	460	517
471	461	515
472	461	514
473	462	512
474	462	511
475	463	510
476	464	508
477	464	507
478	465	506
479	466	504
480	466	503
481	467	502
482	468	500
483	468	499
484	469	498
485	470	497
486	470	495
487	471	494
488	471	493
489	472	491
490	473	490
491	473	489
492	474	488
493	475	486
494	475	485
495	476	484
496	477	482
497	477	481
498	478	480
499	479	479
500	479	477
501	480	476
502	481	475
503	481	474
504	482	472
505	483	471
506	483	470
507	484	469
508	485	467
509	485	466
510	486	465
511	487	464
512	488	463
513	488	462
514	489	460
515	490	459
516	490	458
517	491	457
518	491	455
519	492	454
520	493	453
521	493	452
522	494	450
523	495	449
524	495	448
525	496	447
526	496	445
527	497	444
528	498	443
529	498	442
530	499	441
531	500	439
532	500	438
533	501	437
534	502	436
535	502	435
536	503	433
537	503	432
538	504	431
539	505	430
540	506	429
541	506	428
542	507	426
543	507	425
544	508	424
545	509	423
546	509	422
547	510	421
548	511	419
549	511	418
550	512	417
551	513	416
552	513	415
553	514	414
554	515	412
555	515	411
556	516	410
557	516	409
558	517	408
559	518	407
560	518	405
561	519	404
562	519	403
563	520	402
564	521	401
565	521	400
566	522	399
567	523	397
568	523	396
569	524	395
570	525	394
571	525	393
572	526	392
573	527	391
574	528	390
575	528	389
576	529	388
577	530	387
578	531	386
579	531	385
580	532	383
581	532	382
582	533	381
583	534	380
584	535	379
585	535	378
586	536	377
587	537	376
588	538	375
589	538	374
590	539	373
591	539	372
592	540	371
593	541	369
594	541	368
595	542	367
596	543	366
597	543	365
598	544	364
599	545	363
600	545	362
601	546	361
602	547	360
603	547	359
604	548	357
605	548	356
606	549	355
607	550	354
608	550	353
609	551	352
610	552	351
611	552	350
612	553	349
613	554	348
614	554	347
615	555	346
616	556	345
617	556	344
618	557	343
619	558	342
620	558	341
621	559	339
622	560	339
623	560	338
624	561	336
625	562	335
626	563	334
627	563	333
628	564	332
629	564	331
630	565	330
631	566	329
632	566	328
633	567	327
634	568	326
635	568	325
636	569	324
637	570	323
638	570	322
639	571	321
640	572	320
641	572	319
642	573	318
643	574	317
644	574	316
645	575	315
646	576	314
647	576	313
648	577	312
649	578	311
650	578	310
651	579	309
652	580	308
653	580	307
654	581	306
655	582	305
656	582	304
657	583	303
658	584	302
659	584	301
660	585	300
661	585	299
662	586	298
663	587	297
664	587	296
665	588	295
666	589	294
667	590	293
668	590	292
669	591	291
670	592	290
671	592	289
672	593	288
673	594	287
674	594	286
675	595	285
676	596	284
677	596	283
678	597	282
679	598	281
680	598	280
681	599	279
682	600	278
683	600	277
684	601	276
685	601	275
686	602	274
687	603	273
688	604	272
689	604	271
690	605	270
691	606	269
692	606	268
693	607	267
694	607	266
695	608	265
696	609	264
697	609	263
698	610	262
699	611	261
700	611	260
701	612	260
702	613	259
703	614	258
704	614	257
705	616	256
706	616	255
707	617	254
708	618	253
709	618	252
710	619	251
711	620	250
712	621	249
713	621	249
714	622	248
715	622	247
716	623	246
717	624	245
718	624	244
719	625	243
720	626	242
721	626	241
722	627	240
723	628	239
724	628	238
725	630	237
726	630	236
727	631	235
728	632	235
729	633	234
730	633	233
731	634	232
732	635	231
733	635	230
734	636	229
735	637	228
736	638	227
737	638	226
738	639	225
739	640	224
740	640	223
741	641	222
742	641	222
743	642	221
744	643	220
745	643	219
746	644	218
747	645	217
748	646	216
749	646	215
750	647	214
751	648	213
752	648	212
753	649	211
754	650	210
755	650	210
756	651	209
757	652	208
758	653	207
759	653	206
760	654	205
761	654	204
762	655	203
763	656	202
764	657	201
765	658	201
766	659	200
767	660	199
768	660	198
769	661	197
770	662	196
771	662	195
772	663	194
773	664	193
774	664	193
775	665	192
776	666	191
777	667	190
778	667	189
779	668	188
780	669	187
781	669	186
782	670	185
783	671	184
784	672	184
785	673	183
786	674	182
787	675	181
788	676	180
789	676	179
790	677	179
791	678	178
792	679	177
793	680	176
794	680	175
795	681	174
796	682	173
797	682	172
798	683	171
799	684	171
800	684	170
801	685	169
802	686	168
803	687	167
804	688	166
805	688	165
806	689	164
807	690	163
808	690	163
809	691	162
810	691	161
811	692	160
812	693	159
813	693	158
814	694	157
815	695	156
816	695	155
817	696	154
818	696	153
819	697	153
820	698	152
821	698	151
822	699	150
823	700	149
824	700	148
825	701	147
826	702	146
827	703	146
828	703	145
829	704	144
830	705	143
831	705	142
832	706	141
833	707	140
834	707	139
835	708	138
836	709	138
837	709	137
838	710	136
839	710	135
840	711	134
841	712	133
842	712	132
843	713	131
844	714	130
845	714	130
846	715	129
847	716	128
848	716	127
849	717	126
850	718	125
851	718	124
852	719	123
853	720	123
854	720	122
855	721	121
856	722	120
857	722	119
858	723	118
859	723	117
860	724	116
861	725	116
862	725	115
863	726	114
864	727	113
865	727	112
866	728	111
867	728	110
868	729	109
869	730	109
870	731	108
871	731	107
872	732	106
873	732	105
874	733	104
875	734	103
876	734	103
877	735	102
878	736	101
879	736	100
880	737	99
881	738	98
882	738	97
883	739	97
884	739	96
885	740	95
886	741	94
887	741	93
888	742	92
889	743	91
890	743	91
891	744	90
892	745	89
893	746	88
894	746	87
895	747	86
896	748	85
897	748	85
898	749	84
899	749	83
900	750	82
901	751	81
902	751	80
903	752	79
904	753	79
905	753	78
906	754	77
907	754	76
908	755	75
909	756	74
910	757	73
911	757	73
912	758	72
913	759	71
914	759	70
915	760	69
916	761	68
917	761	68
918	762	67
919	762	66
920	763	65
921	764	64
922	764	63
923	765	62
924	765	62
925	766	61
926	767	60
927	767	59
928	768	58
929	768	57
930	769	57
931	770	56
932	771	55
933	772	54
934	772	53
935	773	52
936	774	52
937	774	51
938	775	50
939	776	49
940	776	48
941	777	47
942	777	47
943	778	46
944	779	45
945	779	44
946	780	43
947	781	42
948	781	42
949	782	41
950	782	40
951	783	39
952	784	38
953	785	37
954	786	37
955	786	36
956	787	35
957	788	34
958	788	33
959	789	32
960	790	32
961	790	31
962	791	30
963	792	29
964	792	28
965	793	27
966	793	27
967	794	26
968	795	25
969	795	24
970	796	23
971	796	22
972	797	22
973	798	21
974	799	20
975	799	19
976	800	18
977	801	18
978	801	17
979	802	16
980	803	15
981	803	14
982	804	13
983	805	13
984	805	12
985	806	11
986	807	10
987	807	9
988	808	8
989	808	8
990	809	7
991	810	6
992	810	5
993	811	4
994	812	4
995	812	3
996	813	2
997	814	1
998	814	0
999	815	0
